Source:,Peris,
,,
NATIONAL SHELTERS NETWORK,,
,,
NAME OF SHELTER,COUNTY,CONTACT (PHONE/ EMAIL)
"Action for Children Temporary
Rescue Centre",Kiambu,"0714 038 285
Kenyadirector@actionchildren.or.ke"
Agatha Amani House,Nakuru,"0713 482 144
nyakio@empoweringmindsinternational.org"
COFAS Kisumu Safe Haven,Kisumu,"0703 467 479
info@cofaskenya.or.ke"
Destiny Rescue Centre,Nairobi,"0720 240 330
florence.muange@gmail.org"
Emily Martin Rescue Center,Nakuru,"0710 955 889
esther@nowkenya.org"
"Filadephia Women in Crisis
Centre (FWCC)",Nakuru,"0720 995 189
margietich2@yahoo.com"
GCN - Salama Centre,Nairobi,"0725 348 845
damakarungo@gmail.com"
"Hope Beyond Transitional
Center",Kajiado,"0725 501 002
director@hopebeyond.org"
Imara Girls International,Laikipia,"0724 779 101
cerickson19@hotmail.com"
Jirani Centre and Safehouse,Kiambu,"0722 780 092
jiranicentre2019@yahoo.com"
Kiota Rescue Homes,Muranga,"0722 377 772
jeank@jeanliz.co.ke"
Kiota Young Mothers,Kwale,"0722 7377 772
jeank@jeanliz.co.ke"
KMET Freedom House Safe Space,Kisumu,"0732801396
j.musuya@kmet.co.ke"
Mahali Pa Usalama (MPU),Mombasa,"0723 379 985
mpu@mombasacatholic.org"
Maisha Girls Safe House,Nairobi,"0726 304 569
mgirlssafehouse@gmail.com"
Maisha Talita Safe House,Nairobi,"0732 235 500
maishatalitakenya@gmail.com"
Makueni  County Shelter,Makueni,"0722 774 145
mulidianah@gmail.com"
Mary Faith Children Centre,Nairobi,"0724 374 487
maryfaithchildren@gmail.com"
Mediva Wellness Center,Muranga,"0721 423 888
elvis@medivawellness.org"
Mully Children Family (MCF),Machakos,"0712 657 905
mcf@mullychildrensfamily.org"
Nainyoie Safe House,Samburu,"0720 857 285
luccinda20@yahoo.com"
Nest Shelter for Abused Girls,Nairobi,"0725 765 978
anduta80@gmail.com"
New Scent Centre,Machakos,"0722 732 058
kanyole@gmail.com"
Njoo Dada,Nairobi,"0720 149 568
lunar.odawa@gmail.com"
Okoa Sasa,Mombasa,"0724 173 188
okoasasa@gmail.com"
"One More Day for Children
Girls’ Safe House",Laikipia,"0721 358 271
onemoreday4kids@gmail.com"
Pendekezo Letu,Kiambu,"0721 927 999
pendekezoletu@gmail.com"
Rescue Dada,Nairobi,"0724 233 626
rescuedadacentre@gmail.com"
"Ripples International Tumaini
Centre",Meru,"0724 370 653
info@ripplesintl.or.ke"
Samburu Girls Foundation,Samburu,"0723 582 535
wanjiru@samburugirls.foundation"
Serene Haven Kenya,Nyeri,"0706 712 292
info@serenehavenkenya.org"
Shining Hope for Communities (Shofco),Nairobi,"0711 812 930
csakwa@shofco.org"
Talia Agler Girls Shelter (TAGS),Kiambu,"0722 722 871
info@cdtd.org"
Trace Kenya,Mombasa,"0722 499 302
info@tracekenya.org"
Undugu - Children Place of Safety,Kajiado,"0722 288 615
buthaina@undugukenya.org"
Wings of Compassion Rescue Homes,Nairobi,"0722 169 994
wingsof2012@gmail.com"
Woman’s Hope Center,Nairobi,"0737 333 741
consoandgirls@gmail.com"
